t,S,I,R,D
416,293.6652596,8.98E-12,96727.13886,2979.195877
417,293.6652596,8.15E-12,96727.13886,2979.195877
418,293.6652596,7.40E-12,96727.13886,2979.195877
419,293.6652596,6.71E-12,96727.13886,2979.195877
420,293.6652596,6.09E-12,96727.13886,2979.195877
421,293.6652596,5.53E-12,96727.13886,2979.195877
422,293.6652596,5.02E-12,96727.13886,2979.195877
423,293.6652596,4.56E-12,96727.13886,2979.195877
424,293.6652596,4.14E-12,96727.13886,2979.195877
425,293.6652596,3.76E-12,96727.13886,2979.195877
426,293.6652596,3.41E-12,96727.13886,2979.195877
427,293.6652596,3.10E-12,96727.13886,2979.195877
428,293.6652596,2.81E-12,96727.13886,2979.195877
429,293.6652596,2.55E-12,96727.13886,2979.195877
430,293.6652596,2.32E-12,96727.13886,2979.195877
431,293.6652596,2.10E-12,96727.13886,2979.195877
432,293.6652596,1.91E-12,96727.13886,2979.195877
433,293.6652596,1.73E-12,96727.13886,2979.195877
434,293.6652596,1.57E-12,96727.13886,2979.195877
435,293.6652596,1.43E-12,96727.13886,2979.195877
436,293.6652596,1.30E-12,96727.13886,2979.195877
437,293.6652596,1.18E-12,96727.13886,2979.195877
438,293.6652596,1.07E-12,96727.13886,2979.195877
439,293.6652596,9.69E-13,96727.13886,2979.195877
440,293.6652596,8.80E-13,96727.13886,2979.195877
441,293.6652596,7.99E-13,96727.13886,2979.195877
442,293.6652596,7.25E-13,96727.13886,2979.195877
443,293.6652596,6.58E-13,96727.13886,2979.195877
444,293.6652596,5.97E-13,96727.13886,2979.195877
445,293.6652596,5.42E-13,96727.13886,2979.195877
446,293.6652596,4.92E-13,96727.13886,2979.195877
447,293.6652596,4.47E-13,96727.13886,2979.195877
448,293.6652596,4.06E-13,96727.13886,2979.195877
449,293.6652596,3.68E-13,96727.13886,2979.195877
450,293.6652596,3.34E-13,96727.13886,2979.195877
451,293.6652596,3.03E-13,96727.13886,2979.195877
452,293.6652596,2.75E-13,96727.13886,2979.195877
453,293.6652596,2.50E-13,96727.13886,2979.195877
454,293.6652596,2.27E-13,96727.13886,2979.195877
455,293.6652596,2.06E-13,96727.13886,2979.195877
456,293.6652596,1.87E-13,96727.13886,2979.195877
457,293.6652596,1.70E-13,96727.13886,2979.195877
458,293.6652596,1.54E-13,96727.13886,2979.195877
459,293.6652596,1.40E-13,96727.13886,2979.195877
460,293.6652596,1.27E-13,96727.13886,2979.195877
461,293.6652596,1.15E-13,96727.13886,2979.195877
462,293.6652596,1.05E-13,96727.13886,2979.195877
463,293.6652596,9.50E-14,96727.13886,2979.195877
464,293.6652596,8.62E-14,96727.13886,2979.195877
465,293.6652596,7.83E-14,96727.13886,2979.195877
466,293.6652596,7.11E-14,96727.13886,2979.195877
467,293.6652596,6.45E-14,96727.13886,2979.195877
468,293.6652596,5.86E-14,96727.13886,2979.195877
469,293.6652596,5.32E-14,96727.13886,2979.195877
470,293.6652596,4.82E-14,96727.13886,2979.195877
